name,population,length(meters)
Hawaiian monk seal,1100,2.4
humpback whale,10000,16
spinner dolphin,3351,2.35
common bottlenose dolphin,235,3.5
Risso's dolphin,85000,4
rough-toothed dolphin,150000,2.83
striped dolphin,2000000,2.6
pygmy killer whale,817,20.5
false killer whale,150,2.8
melon-headed whale,2950,3
short-finned pilot whale,8850,3.7
sperm whale,7082,17.3
dwarf sperm whale,19000,3
pygmy sperm whale,50,3.5
orca,50,10.7
Blainville's beaked whale,2200,5
Cuvier's beaked Whale,13000,8.3
pantropical spotted dolphin,3000000,2.5
